Element_Index,Traction_X,Traction_Y,Traction_Z
1,-0.048,-0.000,0.000
2,0.010,-0.048,0.009
3,0.000,0.005,-0.051
4,-0.050,-0.003,0.004
5,0.000,-0.059,0.014
6,0.002,-0.010,-0.046
7,-0.054,0.002,0.003
8,0.016,-0.061,0.005
9,0.005,0.002,-0.082
10,-0.049,-0.010,0.007
11,0.006,-0.047,-0.012
12,0.003,-0.002,-0.080
13,-0.051,-0.002,0.011
14,-0.002,-0.053,-0.007
15,0.000,-0.005,-0.161
16,-0.051,-0.006,0.016
17,0.000,-0.048,-0.016
18,-0.010,-0.010,-0.111
19,-0.057,-0.000,0.009
20,-0.003,-0.054,-0.010
21,-0.016,-0.016,-0.047
22,-0.052,-0.005,0.002
23,-0.002,-0.050,-0.002
24,-0.005,-0.000,-0.059
25,-0.083,-0.002,0.010
26,-0.005,-0.049,0.002
27,0.012,-0.006,-0.061
28,-0.085,-0.003,-0.002
29,-0.009,-0.083,-0.010
30,0.007,0.005,-0.053
31,-0.163,-0.012,0.005
32,-0.015,-0.163,-0.006
33,0.016,0.015,-0.047
34,-0.115,-0.016,0.010
35,-0.008,-0.085,0.000
36,0.010,0.009,-0.053
37,-0.052,-0.007,0.015
38,-0.001,-0.115,0.005
39,0.002,0.008,-0.046
40,-0.065,-0.010,-0.000
41,-0.008,-0.051,0.002
42,-0.002,0.002,-0.048
43,-0.063,-0.000,0.005
44,0.004,-0.057,0.003
45,0.011,0.003,-0.082
46,-0.058,0.016,-0.007
47,-0.004,-0.051,0.012
48,0.006,-0.000,-0.161
49,-0.044,0.010,-0.016
50,0.000,-0.052,0.016
51,-0.009,0.002,-0.080
52,-0.045,0.005,-0.011
53,0.002,-0.063,0.007
54,0.000,-0.004,-0.111
55,-0.051,-0.011,-0.009
56,0.004,-0.065,0.010
57,-0.014,0.008,-0.045
58,-0.046,0.002,-0.002
59,0.003,-0.052,0.000
60,-0.005,0.001,-0.051
61,-0.046,-0.002,-0.004
62,0.000,-0.058,-0.014
63,0.002,0.004,-0.044
64,-0.047,-0.006,-0.000
65,-0.010,-0.051,-0.009
66,0.000,0.000,-0.046
67,-0.053,0.010,-0.003
68,-0.015,-0.051,-0.005
69,0.005,-0.002,-0.061
70,-0.048,-0.000,0.002
71,-0.005,-0.057,0.010
72,0.003,-0.003,-0.059
73,-0.080,0.016,-0.010
74,0.011,-0.052,-0.002
75,0.007,-0.002,-0.047
76,-0.082,0.005,-0.002
77,0.007,-0.050,0.002
78,0.012,0.000,-0.053
79,-0.161,-0.002,-0.005
80,0.016,-0.048,0.006
81,0.016,0.010,-0.051
82,-0.111,-0.000,-0.000
83,0.009,-0.054,-0.010
84,0.010,0.016,-0.057
85,-0.047,-0.005,0.003
86,0.002,-0.049,-0.016
87,0.002,0.006,-0.051
88,-0.061,-0.003,0.002
89,-0.002,-0.085,0.000
90,0.010,-0.009,-0.052
91,-0.059,-0.007,0.002
92,0.010,-0.083,-0.005
93,-0.002,-0.005,-0.085
94,-0.053,-0.012,0.009
95,0.005,-0.163,0.007
96,0.006,-0.015,-0.163
97,-0.044,-0.016,0.015
98,-0.000,-0.115,0.016
99,0.009,-0.008,-0.083
100,-0.051,-0.010,0.005
101,-0.004,-0.052,0.012
102,0.014,-0.001,-0.115
103,-0.045,-0.002,0.008
104,-0.002,-0.063,0.010
105,-0.000,0.004,-0.050
106,-0.046,-0.011,-0.000
107,-0.003,-0.065,0.002
108,0.005,-0.008,-0.054
109,-0.080,0.002,-0.016
110,-0.011,-0.058,0.005
111,-0.007,-0.004,-0.048
112,-0.161,-0.006,-0.010
113,-0.016,-0.047,0.000
114,-0.016,-0.010,-0.049
115,-0.082,-0.000,-0.006
116,-0.007,-0.046,0.003
117,-0.012,0.000,-0.065
118,-0.111,-0.002,0.008
119,-0.009,-0.053,-0.002
120,-0.010,-0.015,-0.063
121,-0.046,-0.005,-0.004
122,-0.000,-0.048,0.011
123,-0.002,-0.005,-0.052
124,-0.053,-0.003,0.001
125,0.015,-0.045,0.002
126,-0.005,0.002,-0.058
127,-0.047,-0.000,0.004
128,0.010,-0.044,0.006
